,ticker,entry_date,entry_price,exit_date,exit_price,profit_percentage
46,1050.SR,1/30/2022,25.22,2/2/2022,24.59,2.498017446471051
45,1050.SR,3/2/2022,25.79,3/3/2022,25.51,1.0856921287320573
44,1050.SR,3/17/2022,25.7,3/21/2022,24.83,3.385214007782105
43,1050.SR,3/22/2022,25.94,3/30/2022,26.61,-2.5828835774865
42,1050.SR,4/25/2022,27.48,4/26/2022,26.33,4.184861717612817
41,1050.SR,5/29/2022,24.49,5/30/2022,26.23,-7.104940792160074
40,1050.SR,6/16/2022,24.08,6/19/2022,22.66,5.897009966777402
39,1050.SR,6/28/2022,23.14,6/30/2022,22.85,1.2532411408815867
38,1050.SR,7/18/2022,24.49,7/19/2022,24.78,-1.1841567986933552
37,1050.SR,7/21/2022,24.83,7/24/2022,24.54,1.1679420056383374
36,1050.SR,8/1/2022,25.6,8/7/2022,25.07,2.0703125000000044
35,1050.SR,9/29/2022,20.25,10/4/2022,20.52,-1.3333333333333313
34,1050.SR,10/5/2022,20.95,10/6/2022,20.59,1.7183770883054867
33,1050.SR,10/18/2022,21.21,10/23/2022,21.46,-1.1786892975011787
32,1050.SR,11/24/2022,20.42,11/28/2022,20.2,1.077375122429003
31,1050.SR,11/29/2022,20.49,12/1/2022,20.15,1.659346022449975
30,1050.SR,12/14/2022,18.68,12/15/2022,19.17,-2.6231263383297754
29,1050.SR,12/28/2022,19.6,1/2/2023,19.38,1.122448979591849
28,1050.SR,3/2/2023,17.0,3/7/2023,17.38,-2.235294117647053
27,1050.SR,3/19/2023,16.92,3/20/2023,17.12,-1.1820330969267097
26,1050.SR,3/21/2023,17.24,3/29/2023,17.43,-1.1020881670533718
25,1050.SR,4/3/2023,18.49,4/4/2023,19.04,-2.9745808545159584
24,1050.SR,4/12/2023,18.78,4/17/2023,19.0,-1.171458998935031
23,1050.SR,6/13/2023,20.23,6/15/2023,20.59,-1.7795353435491816
22,1050.SR,7/4/2023,20.83,7/5/2023,20.25,2.784445511281797
21,1050.SR,7/12/2023,21.53,7/13/2023,21.21,1.486298188574084
20,1050.SR,7/16/2023,21.62,7/19/2023,21.29,1.5263644773358087
19,1050.SR,10/11/2023,17.12,10/15/2023,16.83,1.6939252336448756
18,1050.SR,10/16/2023,17.04,10/22/2023,16.39,3.8145539906103205
17,1050.SR,11/1/2023,17.98,11/5/2023,18.44,-2.558398220244721
16,1050.SR,11/6/2023,18.47,11/9/2023,17.94,2.8695181375202905
15,1050.SR,11/20/2023,18.15,11/23/2023,17.94,1.157024793388415
14,1050.SR,12/14/2023,18.76,12/18/2023,19.07,-1.652452025586347
13,1050.SR,12/19/2023,19.21,12/21/2023,18.95,1.35346173867778
12,1050.SR,1/7/2024,20.27,1/9/2024,19.77,2.46669955599408
11,1050.SR,1/29/2024,20.56,1/30/2024,19.89,3.2587548638132207
10,1050.SR,6/2/2024,17.12,6/3/2024,16.85,1.5771028037383152
9,1050.SR,6/9/2024,17.6,6/11/2024,17.31,1.6477272727272878
8,1050.SR,7/18/2024,17.94,7/21/2024,18.2,-1.4492753623188293
7,1050.SR,12/9/2024,15.89,12/10/2024,16.08,-1.1957205789804766
6,1050.SR,3/26/2025,18.5,4/3/2025,18.28,1.189189189189183
5,1050.SR,4/8/2025,16.92,4/9/2025,16.36,3.3096926713948123
4,1050.SR,4/10/2025,16.92,4/13/2025,17.2,-1.6548463356973848
3,1050.SR,4/14/2025,17.28,4/21/2025,17.5,-1.2731481481481415
2,1050.SR,4/23/2025,18.38,5/4/2025,18.14,1.3057671381936804
1,1050.SR,6/26/2025,17.52,6/29/2025,17.8,-1.5981735159817416
0,1050.SR,6/30/2025,17.86,7/2/2025,17.56,1.679731243001124
