,ticker,entry_date,entry_price,exit_date,exit_price,profit_percentage
13145,1010.SR,2022-01-24,28.26544174118042,2022-01-30,29.167528397369384,-3.191482604266883
13144,1010.SR,2022-02-01,29.382311935043337,2022-02-02,28.866832208633422,1.7543879036799634
13143,1010.SR,2022-02-16,30.198482120132446,2022-02-20,29.811879010391234,1.280207091877229
13142,1010.SR,2022-02-23,31.401272605133055,2022-02-24,30.28440050125122,3.5567733764371843
13141,1010.SR,2022-03-22,33.076580760955814,2022-03-28,32.68996619110107,1.1688468425705885
13140,1010.SR,2022-04-12,34.92371421890259,2022-04-13,34.436120768737794,1.3961672206700253
13139,1010.SR,2022-05-08,36.74347328567505,2022-05-10,34.3055174949646,6.635071681317957
13138,1010.SR,2022-05-15,32.99947329711914,2022-05-16,32.17230140304565,2.5066215046095883
13137,1010.SR,2022-05-25,32.56412268447876,2022-05-26,32.2158460144043,1.0695103732687483
13136,1010.SR,2022-05-30,33.913703853607174,2022-05-31,33.39128311843872,1.5404414021645891
13135,1010.SR,2022-07-19,31.998168798065187,2022-07-25,30.909792266464233,3.4013713049315615
13134,1010.SR,2022-10-06,30.05904691886902,2022-10-09,29.75007270812988,1.0278909094259552
13133,1010.SR,2022-10-24,32.221885494232176,2022-10-26,30.897699936676027,4.109584331410967
13132,1010.SR,2022-11-07,32.92812263031006,2022-11-08,32.44258818054199,1.474528187407615
13131,1010.SR,2022-12-15,28.116909119796752,2022-12-18,27.410675803756714,2.511774366915701
13130,1010.SR,2022-12-28,28.955556407546997,2022-12-29,28.07276858253479,3.048768300588131
13129,1010.SR,2023-02-13,25.20369478111267,2023-02-14,24.58574253959656,2.451831951159782
13128,1010.SR,2023-02-16,25.336114482879637,2023-02-19,24.9829959148407,1.3937360769250933
13127,1010.SR,2023-03-08,25.600953886413574,2023-03-14,24.365043673324585,4.827594387976638
13126,1010.SR,2023-03-27,26.937913650512694,2023-03-29,26.17083859176636,2.8475666998499594
13125,1010.SR,2023-04-05,28.74279939994812,2023-04-10,27.88547594718933,2.982741662805243
13124,1010.SR,2023-05-07,29.013531211853028,2023-05-09,29.419627974700926,-1.3996805831135573
13123,1010.SR,2023-05-11,30.998898469161986,2023-05-14,30.59280743637085,1.310017622707202
13122,1010.SR,2023-05-22,31.811101544952393,2023-05-23,30.728168567276,3.4042611701015626
13121,1010.SR,2023-06-07,30.59280743637085,2023-06-08,28.517186054992674,6.784671154143684
13120,1010.SR,2023-06-13,30.683048190307616,2023-06-15,29.961095418548584,2.3529369288253683
13119,1010.SR,2023-07-16,31.811101544952393,2023-07-19,31.22451372413635,1.8439720485225348
13118,1010.SR,2023-11-01,25.21545285758972,2023-11-02,24.433223708724977,3.1021816394992756
13117,1010.SR,2023-11-07,25.997685826492308,2023-11-09,25.261469033432007,2.8318551042342275
13116,1010.SR,2023-12-18,26.68788835372925,2023-12-20,26.319779957199096,1.3793088147369892
13115,1010.SR,2024-01-16,28.068297228240965,2024-01-17,27.42410705680847,2.29508105245637
13114,1010.SR,2024-01-24,28.160325759887694,2024-01-25,27.102011016082763,3.758176495644176
13113,1010.SR,2024-02-13,28.52843415641785,2024-02-14,27.97626869659424,1.9354916459703135
13112,1010.SR,2024-07-21,26.360385049438477,2024-07-22,25.935978845214844,1.6100151929786533
13111,1010.SR,2024-08-26,26.2322418800354,2024-08-27,25.745557598876953,1.855290460434674
13110,1010.SR,2024-10-27,25.30754250984192,2024-11-03,24.9181966129303,1.538457939012479
13109,1010.SR,2024-11-11,26.08623430366516,2024-11-13,25.404878984069825,2.6119343699201734
13108,1010.SR,2024-12-10,28.03296951828003,2024-12-15,27.351614198684693,2.430549924976844
13107,1010.SR,2025-03-27,32.072445613861085,2025-04-03,31.731763179016113,1.0622278043484636
13106,1010.SR,2025-04-13,31.29375,2025-04-14,30.49263076400757,2.559997558593748
13105,1010.SR,2025-04-15,30.843119235992432,2025-04-20,30.442559617996217,1.2987000923330143
13104,1020.SR,2022-01-09,13.709088224029541,2022-01-10,13.519562776565552,1.382480325218022
13103,1020.SR,2022-01-17,14.315574621963501,2022-01-18,14.12604726448059,1.3239242048456141
13102,1020.SR,2022-02-01,14.909424334716796,2022-02-03,14.719896977233887,1.271191651857356
13101,1020.SR,2022-02-10,15.79388151626587,2022-02-13,15.503274047470093,1.8400003095913116
13100,1020.SR,2022-02-20,17.240102002716064,2022-02-24,16.695341686248778,3.1598439288901123
13099,1020.SR,2022-03-20,17.11192254295349,2022-03-21,16.823519235992432,1.6853939482084646
13098,1020.SR,2022-03-23,17.20805761528015,2022-03-29,16.919654308319092,1.6759782737185054
13097,1020.SR,2022-04-14,19.963911225128175,2022-04-21,19.611417233276367,1.7656559773123592
13096,1020.SR,2022-04-27,20.444582766723634,2022-05-08,20.188223847198486,1.2539210139441312
13095,1020.SR,2022-05-30,18.393715230560304,2022-06-01,18.16940069847107,1.2195172605290006
13094,1020.SR,2022-06-21,15.548136571884156,2022-06-22,14.676518537521362,5.605932455847786
13093,1020.SR,2022-07-13,14.625246944618224,2022-07-14,14.368888025093078,1.752851903943276
13092,1020.SR,2022-07-21,16.567162226486207,2022-07-25,16.246714532089232,1.9342340590150675
13091,1020.SR,2022-07-26,16.31080330696106,2022-07-27,16.663295388793944,-2.161095779276855
13090,1020.SR,2022-08-17,16.00958186302185,2022-08-21,15.842948947334289,1.0408324034523462
13089,1020.SR,2022-10-06,14.984148094940185,2022-10-09,14.766243586349487,1.454233548747953
13088,1020.SR,2023-03-05,11.856576152801514,2023-03-08,11.54894564037323,2.5945982083166252
13087,1020.SR,2023-04-04,12.228295440101624,2023-04-05,12.074480661392212,1.2578595231269118
13086,1020.SR,2023-06-14,12.061662524414063,2023-06-19,11.72839669303894,2.76301737592606
13085,1020.SR,2023-11-05,11.074683167266846,2023-11-07,10.959321844482423,1.0416670259732008
13084,1020.SR,2023-11-08,11.138772897148133,2023-11-09,10.920867433547974,1.9562788972558156
13083,1020.SR,2023-12-19,12.100116935348511,2024-01-03,11.959119338607788,1.1652581334054855
13082,1020.SR,2024-04-16,13.61263131351471,2024-04-18,13.458815579795838,1.1299485762621286
13081,1020.SR,2024-06-03,12.785874848556519,2024-06-04,12.625651001358031,1.2531316714442604
13080,1020.SR,2024-06-10,13.570972845840455,2024-06-12,13.362681462478637,1.5348301535041373
13079,1020.SR,2024-06-13,13.39472680492401,2024-06-25,13.250525151443481,1.0765553906446181
13078,1020.SR,2024-07-31,13.779264229202271,2024-08-04,13.58699503955841,1.3953516417544756
13077,1020.SR,2024-11-11,13.9234658826828,2024-11-12,13.63506257572174,2.0713471012972366
13076,1020.SR,2024-12-12,14.227891383361817,2024-12-16,14.372093036842346,-1.0135138763370048
13075,1020.SR,2024-12-29,14.852764578437805,2025-01-01,15.045033768081666,-1.2945010245633592
13074,1020.SR,2025-04-08,13.138367885398864,2025-04-09,12.801897997283936,2.560971735986015
13073,1020.SR,2025-04-14,13.39472680492401,2025-04-21,13.68312915687561,-2.1531036515472706
13072,1030.SR,2022-01-13,11.068615992164611,2022-01-16,10.877429783248902,1.727281975009784
13071,1030.SR,2022-02-23,12.66480543422699,2022-02-24,12.401819704055786,2.0765082538139725
13070,1030.SR,2022-04-14,16.05592656211853,2022-04-17,15.792944651985168,1.6379117649542922
13069,1030.SR,2022-04-19,15.903673223876954,2022-04-24,15.682214170074463,1.3925025412997267
13068,1030.SR,2022-05-19,15.83446750831604,2022-05-22,15.557640826034547,1.7482538148889935
13067,1030.SR,2022-06-16,13.772111208343507,2022-06-19,12.955474023628234,5.929644136336426
13066,1030.SR,2022-06-21,13.772111208343507,2022-06-23,13.370711182022095,2.914586008267438
13065,1030.SR,2022-06-27,13.522966430282592,2022-06-28,13.689062630653382,-1.2282527005231854
13064,1030.SR,2022-07-13,13.6336969121933,2022-07-14,13.28766355934143,2.5380742661397577
13063,1030.SR,2022-07-24,14.464176004028321,2022-07-25,14.311921710777282,1.0526302584304517
13062,1030.SR,2022-07-26,14.464176004028321,2022-08-01,14.689892490005493,-1.5605208752597373
13061,1030.SR,2022-10-05,12.625439944267272,2022-10-06,12.4990473072052,1.0010949132862625
13060,1030.SR,2022-10-20,12.948449929046632,2022-10-25,12.723749573135375,1.7353455984503356
13059,1030.SR,2023-03-22,11.600238243484498,2023-03-23,11.459800282287597,1.210647214730956
13058,1030.SR,2024-02-25,12.634531634330749,2024-02-27,12.490526712799072,1.139772535298294
13057,1030.SR,2024-06-10,12.61937276916504,2024-06-12,12.373049089050292,1.9519486793878507
13056,1030.SR,2024-11-11,13.73109164199829,2024-11-14,13.360508815956116,2.6988591708812084
13055,1030.SR,2024-12-11,14.55027679195404,2024-12-12,14.37473650302887,1.206439516135112
13054,1030.SR,2025-04-08,14.400132114601135,2025-04-09,14.179823847198486,1.5299044873294267
13053,1030.SR,2025-04-13,14.700552305603027,2025-04-15,14.50027154159546,1.3624029889763518
13052,1050.SR,2022-02-01,22.955522290420532,2022-02-02,22.215019414901732,3.2258158457488717
13051,1050.SR,2022-03-02,23.303993782424925,2022-03-03,23.04263825340271,1.121505315622423
13050,1050.SR,2022-03-20,23.347549853897096,2022-03-21,22.4328112323761,3.9179212690204883
13049,1050.SR,2022-03-23,23.47822379837036,2022-03-30,24.044494747924805,-2.411898593426597
13048,1050.SR,2022-04-25,24.82855178489685,2022-04-26,23.783139218902587,4.210525748949175
13047,1050.SR,2022-05-29,22.127903451919554,2022-05-30,23.69602325592041,-7.086617163745909
13046,1050.SR,2022-06-16,22.135467126846315,2022-06-19,20.8281661365509,5.905911010614698
13045,1050.SR,2022-06-28,21.271319176483154,2022-06-30,21.005425442504883,1.2500105506960442
13044,1050.SR,2022-07-21,22.82235004119873,2022-07-24,22.5564601272583,1.1650417834291737
13043,1050.SR,2022-08-03,23.57571307411194,2022-08-07,23.043929426193237,2.2556418389000616
13042,1050.SR,2022-10-05,19.25497141227722,2022-10-06,18.922610929870604,1.726102185717606
13041,1050.SR,2022-10-23,19.720284491729736,2022-10-25,19.432234538269043,1.460678488596321
13040,1050.SR,2022-11-24,18.76750784339905,2022-11-28,18.568088497924805,1.0625776588892377
13039,1050.SR,2022-11-29,18.833980321884155,2022-12-04,18.545928458404543,1.5294263801736614
13038,1050.SR,2022-12-15,17.615309939575194,2022-12-20,17.06137007217407,3.144650132761057
13037,1050.SR,2022-12-28,18.01414863052368,2023-01-02,17.814727375030518,1.107025702870346
13036,1050.SR,2023-03-05,15.731912862396241,2023-03-14,15.20013112449646,3.380273858310587
13035,1050.SR,2023-04-04,17.504523112106323,2023-04-05,17.305105676651,1.1392337522031917
13034,1050.SR,2023-04-12,17.260789417648315,2023-04-17,17.460204943084715,-1.155309416106471
13033,1050.SR,2023-06-15,18.922610929870604,2023-06-20,18.479457889938356,2.341923329579755
13032,1050.SR,2023-07-04,19.14418649482727,2023-07-05,18.61240475692749,2.7777714035718755
13031,1050.SR,2023-07-12,19.786756970214842,2023-07-13,19.49870892677307,1.455761769729995
13030,1050.SR,2023-07-18,19.9418600566864,2023-07-19,19.56518140525818,1.8888842382680509
13029,1050.SR,2023-10-11,15.731912862396241,2023-10-15,15.466021038436889,1.6901429996787578
13028,1050.SR,2023-10-16,15.665441338920592,2023-10-22,15.067183302497863,3.818967008202729
13027,1050.SR,2023-11-08,17.06137007217407,2023-11-09,16.485272075271606,3.3766221262736797
13026,1050.SR,2023-11-21,16.751161989212036,2023-11-22,16.551744553756713,1.190469267646932
13025,1050.SR,2023-12-20,17.6817824180603,2023-12-21,17.415892504119874,1.5037506267967933
13024,1050.SR,2024-01-08,18.678875325393676,2024-01-09,18.169249806976318,2.7283522671438876
13023,1050.SR,2024-01-29,18.900450890350342,2024-01-30,18.280038544464112,3.2825266946566996
13022,1050.SR,2024-07-21,17.20903554496765,2024-07-29,16.844338442230224,2.1192187196340213
13021,1050.SR,2024-12-10,15.655690692329406,2024-12-12,15.491387999725342,1.0494758476837123
13020,1050.SR,2025-03-27,18.109798558044435,2025-04-03,17.798232451629637,1.7204283383726493
13019,1050.SR,2025-04-08,16.474073634338378,2025-04-09,15.928832948112488,3.309689505632635
13018,1050.SR,2025-04-14,16.824586936569215,2025-04-21,17.03878791847229,-1.2731425901309819
13017,1050.SR,2025-04-24,17.973486237716674,2025-05-04,17.66192013130188,1.7334762009664255
13016,1060.SR,2022-01-20,36.30259889831543,2022-01-23,35.870426557159426,1.1904721818031012
13015,1060.SR,2022-03-31,34.40103754119873,2022-04-05,34.7467738861084,-1.0050172018666972
13014,1060.SR,2022-04-13,39.846421263885496,2022-04-14,39.327816746520995,1.3015083937651752
13013,1060.SR,2022-04-18,38.645053742980956,2022-04-19,36.94589709091186,4.396828280715505
13012,1060.SR,2022-04-25,39.86496754760742,2022-04-26,38.950030284118654,2.295090952717153
13011,1060.SR,2022-05-19,37.03303215408325,2022-05-22,35.15959009552002,5.058840579859647
13010,1060.SR,2022-05-25,37.163734748840334,2022-05-29,36.335940188598634,2.2274256498602574
13009,1060.SR,2022-07-04,35.72597946624756,2022-07-06,36.205226133728026,-1.341451444132525
13008,1060.SR,2022-07-17,37.351997673797605,2022-07-19,36.778033168029786,1.5366367035583066
13007,1060.SR,2022-10-05,36.24821301956177,2022-10-06,35.409340349578855,2.3142455864795455
13006,1060.SR,2022-10-18,38.41163033065796,2022-10-20,37.351997673797605,2.7586245304839707
13005,1060.SR,2022-10-27,37.881817822265624,2022-10-30,36.82218898544311,2.7971963800525397
13004,1060.SR,2022-11-16,37.6169058380127,2022-11-17,37.13124532699585,1.2910698001271423
13003,1060.SR,2022-11-30,36.33651701431275,2022-12-01,34.52631186218262,4.981779490359798
13002,1060.SR,2022-12-15,33.81989136428833,2022-12-18,33.113474686431886,2.0887609313919233
13001,1060.SR,2022-12-19,33.81989136428833,2022-12-22,33.113474686431886,2.0887609313919233
13000,1060.SR,2023-02-20,30.81760520324707,2023-02-21,30.111184705352784,2.2922627934108717
12999,1060.SR,2023-03-05,32.27460201644897,2023-03-08,31.259123266983032,3.1463710968407783
12998,1060.SR,2023-03-23,30.994211282730102,2023-03-29,30.552695129013063,1.4245116602242782
12997,1060.SR,2023-04-04,32.671962352752686,2023-04-06,32.27460201644897,1.2162120291811438
12996,1060.SR,2023-05-11,34.81042717666626,2023-05-15,34.04387928314209,2.2020640241898364
12995,1060.SR,2023-06-14,34.67515581665039,2023-06-15,33.99878755645752,1.9505846311672133
12994,1060.SR,2023-07-18,38.10208884429932,2023-07-19,37.42572058410644,1.7751474544001782
12993,1060.SR,2023-08-13,33.59296583633423,2023-08-15,32.83557839355469,2.2546012950138117
12992,1060.SR,2023-11-06,33.25122143096924,2023-11-08,32.78939413604736,1.3889032494058764
12991,1060.SR,2023-12-18,34.54432334060669,2023-12-19,33.805405780792235,2.1390419274644157
12990,1060.SR,2023-12-31,35.00614299545288,2024-01-03,34.17486074066162,2.374675367404061
12989,1060.SR,2024-01-07,35.97597038269043,2024-01-08,35.00614299545288,2.6957643586013433
12988,1060.SR,2024-02-15,35.19087238540649,2024-02-19,35.97597038269043,-2.2309705445367443
12987,1060.SR,2024-02-29,38.10035454711914,2024-03-03,37.68471150970459,1.090916455647458
12986,1060.SR,2024-05-02,39.198053881073,2024-05-05,38.58262286453247,1.57005502979243
12985,1060.SR,2024-09-26,34.971751194763186,2024-09-29,34.0476,2.6425648221515705
12984,1060.SR,2024-12-25,32.102024166870116,2024-12-30,32.8316131942749,-2.272719700204245
12983,1060.SR,2025-01-20,34.87447011108399,2025-02-02,35.65270350036621,-2.231527495051111
12982,1060.SR,2025-04-13,33.80440111083984,2025-04-15,33.41528441619873,1.1510829414349093
12981,1060.SR,2025-04-16,33.70712384719849,2025-04-21,33.269370430755615,1.2986970304179688
12980,1080.SR,2022-01-13,17.034375774765014,2022-01-16,16.84369094581604,1.1194118966863338
12979,1080.SR,2022-01-18,17.1297181892395,2022-01-25,17.320399198150636,-1.113159053783594
